Country_code_A3,Name,year,co2_gg,co2_mt,ch4_gg,ch4_mt,n2o_gg,n2o_mt,gdp_annual_growth,post_paris,co2_mt_mean,co2_gg_mean,rank
IRN,"Iran, Islamic Republic of",1994,277551.53954574,277.55153954574,4650.0916495098,4.6500916495098,77.232491109316,.077232491109316,-1.6982862,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",1995,283369.352746,283.369352746,4476.6931520444,4.4766931520444,78.61752030822301,.078617520308223,2.4010446,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",1996,294164.88762035,294.16488762035,4703.4877628845,4.7034877628845,82.048834078993,.082048834078993,6.3505259,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",1997,307291.25850404,307.29125850404,4679.5590270749,4.6795590270749,86.484990459473,.086484990459473,1.3503993,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",1998,307051.6571652,307.0516571652,4167.9999192284,4.1679999192284,89.036192099868,.089036192099868,2.0800118,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",1999,335856.22304928,335.85622304928,4061.0378000509,4.0610378000509,88.02884595503301,.088028845955033,2.0026963,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2000,353939.58871539,353.93958871539,4447.087476746,4.447087476746,87.09757218794201,.087097572187942,5.8455276,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2001,368163.90258089,368.16390258089,4126.5754749442,4.1265754749442,88.559420307956,.088559420307956,2.3921728,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2002,384325.02655242,384.32502655242,4109.0422878339,4.1090422878339,87.913602086699,.087913602086699,8.0788288,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2003,405595.94979066,405.59594979066,4918.147179408,4.918147179408,90.70518329046401,.090705183290464,8.6392984,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2004,434974.22564128,434.97422564128,4800.3265684342,4.8003265684342,95.544888309654,.095544888309654,4.3366661,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2005,468989.8650768,468.9898650768,5084.9149406141,5.0849149406141,93.85339846378599,.093853398463786,3.1898041,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2006,506048.62544364,506.04862544364,5343.4427688561,5.3434427688561,99.57508361033,.09957508361033,4.9997954,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2007,538530.41277804,538.53041277804,5057.6221687893,5.0576221687893,98.937420173893,.098937420173893,8.1557732,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2008,555159.56625458,555.15956625458,4996.6893751538,4.9966893751538,100.87078576008,.10087078576008,.25085655,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2009,573214.62670598,573.2146267059801,5060.6619349496,5.0606619349496,103.06815893499,.10306815893499,1.0073855,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2010,576749.80430819,576.7498043081901,5241.5997640631,5.241599764063101,106.66190499235,.10666190499235,5.7979383,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2011,585919.81603852,585.9198160385199,5245.0082468427,5.2450082468427,103.46440174098,.10346440174098,2.6457179,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2012,592477.8586581,592.4778586581,4679.0219427273,4.679021942727299,104.96198982355,.10496198982355,-3.7471714,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2013,612631.5029545299,612.63150295453,4686.7895936693,4.6867895936693,102.82970071373,.10282970071373,-1.5219792,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2014,636539.91546533,636.53991546533,4381.2662101244,4.3812662101244,95.421763897419,.095421763897419,4.9847751,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2015,629490.16724816,629.49016724816,4395.0425192072,4.3950425192072,92.112256864165,.092112256864165,-1.4248849,0,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2016,642306.29446438,642.30629446438,5363.8961297511,5.363896129751099,98.839097545245,.098839097545245,8.8150864,1,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2017,666380.8472006799,666.3808472006799,5500.0727978184,5.5000727978184,98.411152538724,.098411152538724,2.7585053,1,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2018,661449.94882888,661.44994882888,5260.1275880555,5.2601275880555,100.92980490679,.10092980490679,-1.8380076,1,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2019,712580.40204601,712.58040204601,4673.2911573972,4.6732911573972,101.65727590035,.10165727590035,-3.0705879,1,737.7816158923022,737781.6158923022,6
IRN,"Iran, Islamic Republic of",2020,735870.87945077,735.87087945077,4447.72554992,4.44772554992,105.54728780008,.10554728780008,3.3302884,1,737.7816158923022,737781.6158923022,6
